berry.x,berry.y,berry.z,rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8
2.04,2.89,1.09,-73.5099337748344,-76.3486842105263,-78.4407894736842,-72.3881578947368,-78.6513157894737,-76.7171052631579,-70.7828947368421,-74.0657894736842
2.04,2.49,1.09,-71.7631578947368,-80.1907894736842,-71.6315789473684,-69.5460526315789,-74.9078947368421,-84.5033112582781,-71.1381578947368,-72.2631578947368
1.715,2.49,1.09,-72,-74.9671052631579,-71.8289473684211,-75.1842105263158,-78.8947368421053,-74.6710526315789,-74.6622516556291,-72.3157894736842
1.39,2.49,1.09,-75.2960526315789,-82.4013157894737,-79.6578947368421,-75.8815789473684,-73.9407894736842,-69.3289473684211,-72.2368421052632,-77.1854304635762
1.065,2.49,1.09,-69.5065789473684,-74.0921052631579,-86.6973684210526,-68.8026315789474,-77.046357615894,-67.7105263157895,-76.1315789473684,-77.8552631578947
0.74,2.49,1.09,-69.2828947368421,-73.7631578947368,-76.2302631578947,-82.5496688741722,-75.1381578947368,-72.9210526315789,-75.8421052631579,-79.2105263157895
0.74,2.09,1.09,-67.1052631578947,-72.8223684210526,-74.4276315789474,-71.4078947368421,-76.6907894736842,-73.3684210526316,-80.5,-79.1523178807947
1.065,2.09,1.09,-70.8881578947368,-74.1776315789474,-74.4736842105263,-74.1390728476821,-72.1118421052632,-70.7894736842105,-85.9868421052632,-73.3157894736842
1.39,2.09,1.09,-78.6490066225166,-81.0197368421053,-76.1578947368421,-82.1644736842105,-73.7039473684211,-72.2171052631579,-83.4736842105263,-71.3355263157895
1.715,2.09,1.09,-71.6973684210526,-86.5629139072848,-81.6973684210526,-76.7302631578947,-76.5460526315789,-75.7434210526316,-76.8289473684211,-70.1513157894737
2.04,2.09,1.09,-74.3947368421053,-75.7039473684211,-78.9867549668874,-76.682119205298,-73.8947368421053,-75.3684210526316,-72.4671052631579,-71.8486842105263
0.74,1.69,1.09,-70.7236842105263,-76.2450331125828,-81.5131578947368,-77.2171052631579,-71.5921052631579,-74.2631578947368,-82.5460526315789,-79.6513157894737
1.065,1.69,1.09,-70.6776315789474,-74.9735099337748,-78.9078947368421,-73.9605263157895,-75.0065789473684,-69.9144736842105,-85.7631578947368,-73.7434210526316
1.39,1.69,1.09,-69.7565789473684,-74.8355263157895,-81.3421052631579,-72.4802631578947,-79.1456953642384,-66.0789473684211,-69.2368421052632,-72.4868421052632
1.715,1.69,1.09,-71.3026315789474,-77.2828947368421,-84.0197368421053,-79.8421052631579,-76.5165562913907,-67.4671052631579,-76.9736842105263,-74.1184210526316
2.04,1.69,1.09,-73.625,-82.6158940397351,-73.8092105263158,-82.8947368421053,-67.3289473684211,-67.3486842105263,-71.0592105263158,-67.7236842105263
2.365,1.69,1.09,-71.9605263157895,-78.7039473684211,-78.0723684210526,-83.7368421052632,-73.9802631578947,-79.4078947368421,-83.953642384106,-68.0263157894737
2.69,1.59,1.09,-76.6973684210526,-82.2781456953642,-77.1710526315789,-71.7828947368421,-67.1052631578947,-72.5986842105263,-75.0855263157895,-71.5
3.015,1.69,1.09,-79.6447368421053,-72.9605263157895,-79.7748344370861,-69.0460526315789,-71.6907894736842,-73.2368421052632,-74.9342105263158,-73.4210526315789
3.015,1.29,1.09,-83.0460526315789,-82.9276315789474,-74.2697368421053,-73.7814569536424,-72.8355263157895,-74.8092105263158,-68.0263157894737,-73.5921052631579
2.69,1.29,1.09,-74.3881578947368,-69.4370860927152,-66.4078947368421,-71.2434210526316,-61.1052631578947,-71.6776315789474,-65.2039473684211,-60.2105263157895
2.365,1.29,1.09,-68.9473684210526,-72.0131578947368,-73.9139072847682,-73.0328947368421,-68.9473684210526,-72.1118421052632,-67.8947368421053,-58.2302631578947
2.04,1.29,1.09,-63.4802631578947,-70.9602649006623,-73.9605263157895,-77.7105263157895,-65.9802631578947,-61.8815789473684,-75.5197368421053,-57.7763157894737
2.04,0.89,1.09,-60.3355263157895,-70.5131578947368,-66.4407894736842,-66.7105263157895,-57.2763157894737,-78.5827814569536,-75.0460526315789,-71.7236842105263
2.365,0.89,1.09,-65.8684210526316,-71.8618421052632,-70.4473684210526,-67.1842105263158,-63.7763157894737,-79.476821192053,-69.9605263157895,-57.3157894736842
2.69,0.89,1.09,-76.0986842105263,-77.8618421052632,-62.7039473684211,-71.9736842105263,-61.3421052631579,-74.0986842105263,-63.9013157894737,-60
3.015,0.89,1.09,-68.625,-77.9078947368421,-69.9736842105263,-80.5761589403973,-60.4605263157895,-74.3947368421053,-59.8618421052632,-70.6513157894737
0.74,3.69,1.85,-73.6315789473684,-58.0328947368421,-78.9668874172185,-67.0460526315789,-75.1184210526316,-68.2368421052632,-65.5657894736842,-73.3157894736842
1.065,3.69,1.85,-72.3157894736842,-61.8145695364238,-71.0328947368421,-70.4407894736842,-72.9407894736842,-71.4342105263158,-66.5460526315789,-69.0986842105263
1.39,3.69,1.85,-62.9868421052632,-62.6710526315789,-66.8289473684211,-63.2894736842105,-74.1721854304636,-72.6513157894737,-64.7152317880795,-66.8223684210526
1.715,3.69,1.85,-66.3355263157895,-68.0657894736842,-64.0394736842105,-59.8079470198675,-65.6513157894737,-72.1644736842105,-67.1315789473684,-70.2434210526316
2.04,3.69,1.85,-68.7302631578947,-64.7631578947368,-60.5131578947368,-58.682119205298,-69.0460526315789,-72.4013157894737,-65.9868421052632,-72.2763157894737
2.365,3.69,1.85,-72.2302631578947,-77.7086092715232,-55.1578947368421,-60.0986842105263,-68.8552631578947,-74.7434210526316,-64.8947368421053,-70.2960526315789
2.69,3.69,1.85,-68.1513157894737,-68.4473684210526,-55.6118421052632,-76.5526315789474,-70.9868421052632,-69.1513157894737,-61.5526315789474,-78.2450331125828
3.015,3.69,1.85,-69.9671052631579,-75.0592105263158,-59.5263157894737,-56.7368421052632,-72.8486842105263,-74.75,-59.7368421052632,-77.4635761589404
3.34,3.69,1.85,-77.9072847682119,-75.2565789473684,-64.9868421052632,-55.4473684210526,-74.9671052631579,-72.7039473684211,-65.9868421052632,-74.4539473684211
3.665,3.69,1.85,-69.5526315789474,-75.8289473684211,-62.3708609271523,-64.3355263157895,-73.7302631578947,-80.7434210526316,-66.0328947368421,-72.4078947368421
3.665,3.29,1.85,-66.1973684210526,-68.9144736842105,-69.5460526315789,-65.6776315789474,-66.3552631578947,-68.1447368421053,-52.3026315789474,-74.476821192053
3.34,3.29,1.85,-67.8223684210526,-74,-61.3815789473684,-53.6052631578947,-68.5789473684211,-74.0066225165563,-58.0131578947368,-64.6644736842105
3.015,3.29,1.85,-66.1315789473684,-71.9271523178808,-61.8947368421053,-66.9473684210526,-71.2434210526316,-77.0263157894737,-62.3092105263158,-63.1644736842105
2.69,3.29,1.85,-66.7960526315789,-67.0328947368421,-63.1513157894737,-62.6776315789474,-67.8947368421053,-67.5263157894737,-61.6688741721854,-62.8947368421053
2.365,3.29,1.85,-71.0728476821192,-64.5855263157895,-68.8289473684211,-57.7434210526316,-77.3355263157895,-73.8684210526316,-71.7236842105263,-64.8552631578947
2.04,3.29,1.85,-70.5065789473684,-61.9671052631579,-71.7434210526316,-60.7368421052632,-74.6118421052632,-65.3223684210526,-62.6754966887417,-63.4276315789474
1.715,3.29,1.85,-62.4671052631579,-64.0662251655629,-70.0921052631579,-65.3223684210526,-72.0131578947368,-63.0394736842105,-69.6118421052632,-67.0460526315789
1.39,3.29,1.85,-72.7039473684211,-65.0197368421053,-72.1447368421053,-70.2302631578947,-65.1447368421053,-64.8940397350993,-66.2631578947368,-64.3223684210526
1.065,3.29,1.85,-61.6578947368421,-64.0855263157895,-71.3289473684211,-73.7302631578947,-64.6887417218543,-62.3486842105263,-69.2763157894737,-78.2105263157895
0.74,3.29,1.85,-64.2368421052632,-62.9539473684211,-72.4304635761589,-70.9802631578947,-66.4736842105263,-64.9342105263158,-73.9078947368421,-64.9276315789474
0.74,2.89,1.85,-72.6644736842105,-64.1721854304636,-74.2302631578947,-74.2039473684211,-69.9276315789474,-72.3881578947368,-73.2631578947368,-71.3947368421053
1.065,2.89,1.85,-75.1184210526316,-67.6381578947368,-75.9139072847682,-75.9342105263158,-62.3907284768212,-68.4802631578947,-71.2697368421053,-66.1513157894737
1.39,2.89,1.85,-70.875,-68.2960526315789,-67.2434210526316,-71.6710526315789,-60.7105263157895,-63.6423841059603,-77.5263157894737,-70.6578947368421
1.715,2.89,1.85,-69.2119205298013,-62.5629139072848,-73.3421052631579,-69.4868421052632,-63.2828947368421,-58.4276315789474,-68.0986842105263,-69.4802631578947
2.04,2.89,1.85,-63.6447368421053,-69.4276315789474,-69.9078947368421,-64.5165562913907,-72.4934210526316,-60.2236842105263,-63.8289473684211,-71.5789473684211
2.04,2.49,1.85,-64.4736842105263,-68.9671052631579,-75.9276315789474,-64.5723684210526,-71.5033112582781,-53.9210526315789,-65.0394736842105,-64.7434210526316
1.715,2.49,1.85,-72.375,-65.6776315789474,-78.375,-64.7894736842105,-60,-55.9605263157895,-72.1655629139073,-63.4605263157895
1.39,2.49,1.85,-67.4802631578947,-71.9868421052632,-72.0993377483444,-69.5263157894737,-60.4473684210526,-62.8486842105263,-73.4013157894737,-62.9144736842105
1.065,2.49,1.85,-63.0662251655629,-68.2697368421053,-73.4934210526316,-80.6644736842105,-59.7039473684211,-61.8421052631579,-71.3684210526316,-68.6315789473684
0.74,2.49,1.85,-60.0592105263158,-67.2763157894737,-73.2763157894737,-70.0331125827815,-64.3815789473684,-70.0657894736842,-76.1052631578947,-67.4342105263158
0.74,2.09,1.85,-51.6644736842105,-65.7565789473684,-75.1710526315789,-70.3245033112583,-62.8355263157895,-68.4701986754967,-74.6447368421053,-63.5263157894737
1.065,2.09,1.85,-57.6907894736842,-70.8092105263158,-75.1513157894737,-73.4342105263158,-59.375,-67.6447368421053,-74.2582781456954,-66.7894736842105
1.39,2.09,1.85,-65.2565789473684,-69.7434210526316,-76.2119205298013,-71.9144736842105,-61.6907894736842,-64.6447368421053,-65.5065789473684,-60.8289473684211
1.715,2.09,1.85,-61.2894736842105,-74.9736842105263,-74.5197368421053,-67.5430463576159,-65.0526315789474,-57.1184210526316,-71.2302631578947,-69.7434210526316
2.04,2.09,1.85,-69.0529801324503,-70.9210526315789,-72.4210526315789,-62.8618421052632,-60.4802631578947,-57.9605263157895,-60.9736842105263,-65.9671052631579
2.04,1.69,1.85,-66.7434210526316,-76.5131578947368,-80.0592105263158,-62.4605263157895,-55.5131578947368,-59.7828947368421,-63.9407894736842,-63.1721854304636
1.715,1.69,1.85,-65.7814569536424,-68.75,-72.8289473684211,-75.6118421052632,-62.0460526315789,-59.9013157894737,-70.5526315789474,-66.2105263157895
1.39,1.69,1.85,-61.9078947368421,-68.5131578947368,-76.3026315789474,-76.2039473684211,-60.1655629139073,-65.2894736842105,-72.9144736842105,-66.6578947368421
1.065,1.69,1.85,-60.0723684210526,-77.1324503311258,-78.4605263157895,-77.1907894736842,-58.1973684210526,-67.7302631578947,-65.25,-61.2697368421053
0.74,1.69,1.85,-58.5526315789474,-72.3092105263158,-74.7368421052632,-70.7763157894737,-58.3026315789474,-65.8289473684211,-70.6644736842105,-68.8807947019868
2.365,1.69,1.85,-65.5960264900662,-70.9473684210526,-77.5460526315789,-60.4013157894737,-56.7763157894737,-65.7697368421053,-61.8486842105263,-60.4342105263158
2.69,1.6,1.85,-68.4342105263158,-73.2236842105263,-68.2039473684211,-65.2039473684211,-63.0657894736842,-69.2565789473684,-63.2317880794702,-62.9342105263158
3.015,1.6,1.85,-64.7814569536424,-76.5460526315789,-73.0460526315789,-61.8552631578947,-60.3223684210526,-68.3881578947368,-71.3486842105263,-64.9473684210526
3.015,1.29,1.85,-66.1059602649007,-72.7894736842105,-70.2894736842105,-64.4144736842105,-55.9144736842105,-77.7828947368421,-66.4868421052632,-67.6578947368421
2.69,1.29,1.85,-67.9868421052632,-70.0526315789474,-75.0263157894737,-63.9276315789474,-56.0986842105263,-76.2913907284768,-66.8552631578947,-66.5986842105263
2.365,1.29,1.85,-67.8223684210526,-69.2828947368421,-69.4671052631579,-63.8289473684211,-60.9403973509934,-80.4144736842105,-71.6973684210526,-61.6118421052632
2.04,1.29,1.85,-67.3026315789474,-75.4802631578947,-67.5986842105263,-71.4802631578947,-57.2105263157895,-74.4144736842105,-67.9210526315789,-64.5364238410596
2.04,0.89,1.85,-68.046357615894,-72.5460526315789,-69.7302631578947,-75.3947368421053,-63.4407894736842,-69.7615894039735,-74.0657894736842,-60.2434210526316
2.365,0.89,1.85,-62.9868421052632,-79.4539473684211,-66.6315789473684,-69.6907894736842,-61.5921052631579,-67.875,-71.7828947368421,-63.1721854304636
2.69,0.89,1.85,-70.0855263157895,-86.5629139072848,-66.6907894736842,-64.9736842105263,-63.0657894736842,-70.0789473684211,-76.9802631578947,-72.4144736842105
3.015,0.89,1.85,-65.6184210526316,-70.5827814569536,-68.2185430463576,-70.4342105263158,-61.4342105263158,-76.2236842105263,-61.3092105263158,-65.4078947368421
