major,dist,uuid,timestamp,measuredPower,rssi,proximity,minor,accuracy
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106686715,-55,-67,near,5,2.255207928116514
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106687667,-55,-67,near,5,2.255207928116514
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106689575,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106690537,-55,-72,near,5,3.16481019268925
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106691495,-55,-72,near,5,3.16481019268925
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106692445,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106693417,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106694351,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106695309,-55,-66,near,5,2.107435899344471
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106698175,-55,-67,near,5,2.255207928116514
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106699137,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106700091,-55,-71,near,5,2.9574366653876187
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106701042,-55,-70,near,5,2.7636512451784294
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106701999,-55,-66,near,5,2.107435899344471
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106702961,-55,-67,near,5,2.255207928116514
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106703922,-55,-72,near,5,3.16481019268925
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106704875,-55,-73,near,5,3.386724616277461
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106705826,-55,-75,near,5,3.8783260384703437
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106707761,-55,-64,near,5,1.840305576875063
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106708704,-55,-67,near,5,2.255207928116514
1,2,b9407f30f5f8466eaff925556b57fe6d,1521106709659,-55,-67,near,5,2.255207928116514
